Key,en,es,ar
User KYC section is under maintenance,User KYC section is under maintenance,La sección KYC del usuario está en mantenimiento,قسم KYC للمستخدم قيد الصيانة
User KYC input fields fetch successfully,User KYC input fields fetch successfully,Los campos de entrada KYC del usuario se obtienen correctamente,تم جلب حقول إدخال KYC للمستخدم بنجاح
Instructions,Instructions,Instrucciones,تعليمات
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه KYC
KYC information successfully submitted,KYC information successfully submitted,La información KYC se envió correctamente,تم إرسال معلومات KYC بنجاح
Request response fetch successfully!,Request response fetch successfully!,¡La solicitud de respuesta se obtuvo correctamente!,تم جلب الاستجابة للطلب بنجاح!
Your secret key not stored properly. Please contact with system administrator,Your secret key not stored properly. Please contact with system administrator,Su clave secreta no se almacenó correctamente. Por favor contacte con el administrador del sistema,لم يتم تخزين مفتاحك السري بشكل صحيح. يرجى الاتصال بمسؤول النظام
Google 2FA successfully verified!,Google 2FA successfully verified!,¡Google 2FA verificado con éxito!,تم التحقق من المصادقة الثنائية على Google بنجاح!
Invalid authentication code,Invalid authentication code,Código de autenticación no válido,رمز المصادقة غير صالح
Failed to login. Please try again,Failed to login. Please try again,No se pudo iniciar sesión. Por favor inténtalo de nuevo,فشل تسجيل الدخول. يرجى المحاولة مرة أخرى
Your account is temporary banded. Please contact with system admin,Your account is temporary banded. Please contact with system admin,Su cuenta está bloqueada temporalmente. Por favor contacte con el administrador del sistema,حسابك مؤقت. يرجى الاتصال بمسؤول النظام
Verification code sended to your email address,Verification code sended to your email address,Código de verificación enviado a su dirección de correo electrónico,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني
Session expired. Please try again,Session expired. Please try again,La sesión expiró. Por favor inténtalo de nuevo,انتهت صلاحية الجلسة. يرجى المحاولة مرة أخرى
Verification Otp is Invalid,Verification Otp is Invalid,La verificación OTP no es válida,التحقق من Otp غير صالح
OTP successfully verified!,OTP successfully verified!,¡OTP verificada con éxito!,تم التحقق من كلمة مرور OTP بنجاح!
Request token is invalid,Request token is invalid,El token de solicitud no es válido,رمز الطلب غير صالح
OTP resend success,OTP resend success,Reenvío OTP exitoso,تم إعادة إرسال OTP بنجاح
Password reset success,Password reset success,Restablecimiento de contraseña exitoso,نجاح إعادة تعيين كلمة المرور
Login Failed! Failed to refresh wallet! Please try again,Login Failed! Failed to refresh wallet! Please try again,¡Error de inicio de sesion! ¡No se pudo actualizar la billetera! Por favor inténtalo de nuevo,فشل تسجيل الدخول! فشل تحديث المحفظة! يرجى المحاولة مرة أخرى
User successfully logged in,User successfully logged in,El usuario inició sesión exitosamente,تم تسجيل دخول المستخدم بنجاح
User already exists!,User already exists!,¡El usuario ya existe!,المستخدم موجود بالفعل!
Registration failed! Please try again,Registration failed! Please try again,¡El registro falló! Por favor inténtalo de nuevo,فشل التسجيل! يرجى المحاولة مرة أخرى
Failed to fetch user information. Please try again,Failed to fetch user information. Please try again,No se pudo recuperar la información del usuario. Por favor inténtalo de nuevo,فشل في جلب معلومات المستخدم. يرجى المحاولة مرة أخرى
Failed to generate user token! Please try again,Failed to generate user token! Please try again,¡No se pudo generar el token de usuario! Por favor inténtalo de nuevo,فشل في إنشاء الرمز المميز للمستخدم! يرجى المحاولة مرة أخرى
Registration Failed! Something went wrong! Please try again,Registration Failed! Something went wrong! Please try again,¡El registro falló! ¡Algo salió mal! Por favor inténtalo de nuevo,فشل التسجيل! حدث خطأ ما! يرجى المحاولة مرة أخرى
User successfully registered,User successfully registered,Usuario registrado exitosamente,تم تسجيل المستخدم بنجاح
Failed to fetch data. Please try again,Failed to fetch data. Please try again,No se pudieron recuperar los datos. Por favor inténtalo de nuevo,فشل في جلب البيانات. يرجى المحاولة مرة أخرى
Payment gateway fetch successfully!,Payment gateway fetch successfully!,¡La pasarela de pago se obtuvo correctamente!,تم جلب بوابة الدفع بنجاح!
Payment gateway response successful,Payment gateway response successful,Respuesta exitosa de la pasarela de pago,استجابة بوابة الدفع ناجحة
Transaction request sended successfully!,Transaction request sended successfully!,¡Solicitud de transacción enviada exitosamente!,تم إرسال طلب المعاملة بنجاح!
Transaction failed. Record didn\,Transaction failed. Record didn\,La transacción falló. El registro no\,فشلت المعاملة. لم يتم التسجيل\
Successfully added money,Successfully added money,Dinero agregado exitosamente,تمت إضافة الأموال بنجاح
Payment process cancel successfully!,Payment process cancel successfully!,¡El proceso de pago se cancela exitosamente!,تم إلغاء عملية الدفع بنجاح!
Payment gateway input fields fetch successfully!,Payment gateway input fields fetch successfully!,¡Los campos de entrada de la pasarela de pago se recuperaron correctamente!,تم جلب حقول إدخال بوابة الدفع بنجاح!
Selected gateway is invalid,Selected gateway is invalid,La puerta de enlace seleccionada no es válida,البوابة المحددة غير صالحة
Transaction Failed. Failed to save information. Please try again,Transaction Failed. Failed to save information. Please try again,La transacción falló. No se pudo guardar la información. Por favor inténtalo de nuevo,فشلت الصفقة. فشل في حفظ المعلومات. يرجى المحاولة مرة أخرى
Your wallet is invalid!,Your wallet is invalid!,¡Tu billetera no es válida!,محفظتك غير صالحة!
Transaction Success. Please wait for admin confirmation,Transaction Success. Please wait for admin confirmation,Éxito de la transacción. Espere la confirmación del administrador.,نجاح الصفقة. الرجاء الانتظار لتأكيد المشرف
User dashboard data fetch successfully!,User dashboard data fetch successfully!,¡Los datos del panel de usuario se recuperaron correctamente!,تم جلب بيانات لوحة تحكم المستخدم بنجاح!
Profile info fetch successfully!,Profile info fetch successfully!,¡La información del perfil se obtuvo correctamente!,تم جلب معلومات الملف الشخصي بنجاح!
Phone number already exists,Phone number already exists,El número de teléfono ya existe,رقم الهاتف موجود بالفعل
Profile successfully updated!,Profile successfully updated!,¡Perfil actualizado exitosamente!,تم تحديث الملف الشخصي بنجاح!
Password successfully updated!,Password successfully updated!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!
Logout success!,Logout success!,¡Cerrar sesión exitosamente!,نجاح تسجيل الخروج!
Splash screen data fetch successfully!,Splash screen data fetch successfully!,¡Los datos de la pantalla de bienvenida se recuperaron correctamente!,تم جلب بيانات شاشة البداية بنجاح!
Onboard screen data fetch successfully!,Onboard screen data fetch successfully!,¡Los datos de la pantalla integrada se recuperaron correctamente!,تم جلب بيانات الشاشة الموجودة على اللوحة بنجاح!
Transactions fetch successfully!,Transactions fetch successfully!,¡Las transacciones se recuperan correctamente!,جلب المعاملات بنجاح!
Failed to subscribe. Try again,Failed to subscribe. Try again,No se pudo suscribir. Intentar otra vez,فشل الاشتراك. حاول ثانية
Subscribed Successfully!,Subscribed Successfully!,¡Suscrito exitosamente!,تم الاشتراك بنجاح!
Failed to send message. Please Try again,Failed to send message. Please Try again,No se pudo enviar el mensaje. Por favor inténtalo de nuevo,فشل في إرسال الرسالة. يرجى المحاولة مرة أخرى
Message send successfully!,Message send successfully!,¡Mensaje enviado exitosamente!,تم إرسال الرسالة بنجاح!
Your account deleted successfully!,Your account deleted successfully!,¡Tu cuenta se eliminó exitosamente!,تم حذف حسابك بنجاح!
Language Name,Language Name,Nombre del idioma,اسم اللغة
Language Code,Language Code,Código de idioma,رمز اللغة
Direction,Direction,Dirección,اتجاه
Code,Code,Código,شفرة
Symbol,Symbol,Símbolo,رمز
Image,Image,Imagen,صورة
Add Money Logs,Add Money Logs,Agregar registros de dinero,إضافة سجلات الأموال
Contact Messages,Contact Messages,Mensajes de contacto,رسائل الاتصال
Extensions,Extensions,Extensiones,ملحقات
Invest Profit Logs,Invest Profit Logs,Registros de ganancias de inversión,سجلات أرباح الاستثمار
OrderLogs,OrderLogs,Registros de pedidos,سجلات الطلب
Current Password,Current Password,Contraseña actual,كلمة المرور الحالية
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
First Name,First Name,Nombre de pila,الاسم الأول
Last Name,Last Name,Apellido,اسم العائلة
Phone Number,Phone Number,Número de teléfono,رقم التليفون
Zip/Postal,Zip/Postal,Código postal/correo postal,الرمز البريدي/البريدي
Address,Address,DIRECCIÓN,عنوان
Accessibale wallet for money out,Accessibale wallet for money out,Cartera accesible para retirar dinero.,محفظة Accessibale لإخراج الأموال
Current Balance,Current Balance,Saldo actual,الرصيد الحالي
Profit Balance,Profit Balance,Saldo de ganancias,رصيد الربح
Balance added to,Balance added to,Saldo agregado a,الرصيد مضاف إليه
Mail Notification,Mail Notification,Notificación por correo,إشعار البريد
Password,Password,Contraseña,كلمة المرور
Subscribers,Subscribers,Suscriptores,المشتركين
Transfer Money Logs,Transfer Money Logs,Transferir registros de dinero,تحويل سجلات الأموال
User Care,User Care,Atención al usuario,رعاية المستخدم
User Registration,User Registration,Registro de usuario,تسجيل المستخدم
Secure Password,Secure Password,Contraseña segura,كلمة مرور آمنة
Agree Policy,Agree Policy,Política de acuerdo,الموافقة على السياسة
Force SSL,Force SSL,Forzar SSL,فرض SSL
Email Verification,Email Verification,Verificación de correo electrónico,التحقق من البريد الإلكتروني
Email Notification,Email Notification,Notificación por correo electrónico,إشعار البريد الإلكتروني
Push Notification,Push Notification,Notificación push,دفع الإخطار
KYC Verification,KYC Verification,Verificación KYC,التحقق من KYC
Payment Required,Payment Required,Pago requerido,الدفع مطلوب
Too Many Requests,Too Many Requests,Demasiadas solicitudes,طلبات كثيرة جدًا
Service Unavailable,Service Unavailable,Servicio No Disponible,الخدمة غير متوفرة
Please Enter the Code,Please Enter the Code,Por favor ingrese el código,الرجاء إدخال الرمز
Message,Message,Mensaje,رسالة
Optional,Optional,Opcional,خياري
Investment Amount,Investment Amount,Monto de la inversión,مبلغ الاستثمار
Total Plan Invest,Total Plan Invest,Inversión total del plan,استثمار الخطة الإجمالية
Total Send Money,Total Send Money,Envío total de dinero,إجمالي إرسال الأموال
Showing,Showing,Demostración,عرض
All Admin,All Admin,Todos los administradores,كل المشرف
Email To Admin,Email To Admin,Enviar correo electrónico al administrador,البريد الإلكتروني إلى المشرف
Admin Roles,Admin Roles,Funciones de administrador,أدوار المشرف
Permission Group,Permission Group,Grupo de permisos,مجموعة الأذونات
Role Permission ,Role Permission ,Permiso de rol ,إذن الدور 
Onboard Screen,Onboard Screen,Pantalla integrada,شاشة على متن الطائرة
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية
Crypto Assets,Crypto Assets,Activos criptográficos,أصول التشفير
Wallet Information Not Found!,Wallet Information Not Found!,¡No se encontró información de la billetera!,لم يتم العثور على معلومات المحفظة!
Setup Currency,Setup Currency,Configuración de moneda,عملة الإعداد
Gold Stock,Gold Stock,Acciones de oro,مخزون الذهب
Create New Gold,Create New Gold,Crear nuevo oro,خلق الذهب الجديد
Gold Edit,Gold Edit,Oro Editar,تحرير الذهب
Gold Investment Plan,Gold Investment Plan,Plan de inversión en oro,خطة استثمار الذهب
Create New Plan,Create New Plan,Crear nuevo plan,إنشاء خطة جديدة
Plan Edit,Plan Edit,Editar plano,تحرير الخطة
Invest Profits,Invest Profits,Invertir ganancias,أرباح الاستثمار
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة
Language Information,Language Information,Información de idioma,معلومات اللغة
Money Out Setting,Money Out Setting,Configuración de salida de dinero,إعداد إخراج الأموال
Automatic Add Money,Automatic Add Money,Agregar dinero automáticamente,إضافة الأموال تلقائيًا
Manual Add Money,Manual Add Money,Agregar dinero manualmente,دليل إضافة المال
Money Out,Money Out,Salida de dinero,المال خارج
Automatic Add Money Edit,Automatic Add Money Edit,Agregar dinero automáticamente Editar,تحرير إضافة الأموال تلقائيًا
Manual Add Money Edit,Manual Add Money Edit,Agregar dinero manualmente Editar,تحرير إضافة الأموال يدويًا
Money Out Edit,Money Out Edit,Salida de dinero Editar,تحرير الأموال
Money Out Add,Money Out Add,Añadir salida de dinero,إضافة الأموال
Admin Profile,Admin Profile,Perfil de administrador,الملف الشخصي للمسؤول
Password Change,Password Change,Cambio de contraseña,تغيير كلمة المرور
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد
Send Notification,Send Notification,Enviar notificación,إرسال الإخطار
Referral Settings,Referral Settings,Configuración de referencia,إعدادات الإحالة
Server Information,Server Information,Información del servidor,معلومات الخادم
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني
Default Template,Default Template,Plantilla predeterminada,القالب الافتراضي
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC
Setup Pages,Setup Pages,Páginas de configuración,صفحات الإعداد
Banner Section,Banner Section,Sección de pancartas,قسم البانر
Brand Section,Brand Section,Sección de Marca,قسم العلامات التجارية
Services Section,Services Section,Sección de Servicios,قسم الخدمات
App Section,App Section,Sección de aplicaciones,قسم التطبيقات
Client Feedback Section,Client Feedback Section,Sección de comentarios del cliente,قسم ملاحظات العملاء
Announcement Section,Announcement Section,Sección de anuncios,قسم الإعلان
How It Work Section,How It Work Section,Sección Cómo funciona,قسم كيفية العمل
Why Choose Us Section,Why Choose Us Section,Sección Por qué elegirnos,لماذا تختارنا القسم
Overview Section,Overview Section,Sección de descripción general,قسم نظرة عامة
Footer Section,Footer Section,Sección de pie de página,قسم التذييل
Auth Section,Auth Section,Sección de autenticación,قسم المصادقة
Contact US Section,Contact US Section,Contáctenos Sección EE.UU.,اتصل بقسم الولايات المتحدة
Website Subscribers,Website Subscribers,Suscriptores del sitio web,المشتركين في الموقع
All Ticket,All Ticket,Todos los boletos,جميع التذاكر
Pending Ticket,Pending Ticket,Boleto pendiente,تذكرة معلقة
Active Ticket,Active Ticket,Boleto Activo,تذكرة نشطة
Solved Ticket,Solved Ticket,Boleto resuelto,تذكرة محلولة
Support Chat,Support Chat,Chat de soporte,دعم الدردشة
Transfer Money,Transfer Money,Transferir dinero,تحويل الأموال
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف
Edit Useful Link,Edit Useful Link,Editar enlace útil,تعديل الرابط المفيد
All Users,All Users,Todos los usuarios,كافة المستخدمين
Active Users,Active Users,Usuarios activos,المستخدمون النشطون
Banned Users,Banned Users,Usuarios prohibidos,المستخدمون المحظورون
Email Unverified Users,Email Unverified Users,Enviar correo electrónico a usuarios no verificados,إرسال بريد إلكتروني للمستخدمين الذين لم يتم التحقق منهم
KYC Unverified Users,KYC Unverified Users,Usuarios no verificados de KYC,KYC المستخدمين الذين لم يتم التحقق منهم
Email To Users,Email To Users,Enviar correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين
User Details,User Details,Detalles del usuario,تفاصيل المستخدم
Login Logs,Login Logs,Registros de inicio de sesión,سجلات تسجيل الدخول
Refer Users,Refer Users,Referir usuarios,إحالة المستخدمين
User Email Logs,User Email Logs,Registros de correo electrónico del usuario,سجلات البريد الإلكتروني للمستخدم
KYC Profile,KYC Profile,Perfil KYC,ملف تعريف KYC
Basic Settings,Basic Settings,Configuraciones básicas,الإعدادات الأساسية
Image Assets,Image Assets,Recursos de imagen,أصول الصورة
Setup SEO,Setup SEO,Configurar SEO,إعداد كبار المسئولين الاقتصاديين
Access denied! Unauthenticated,Access denied! Unauthenticated,¡Acceso denegado! No autenticado,تم الرفض! غير مصادق عليه
Verification code resend successfully!,Verification code resend successfully!,¡El código de verificación se reenvía exitosamente!,تم إعادة إرسال رمز التحقق بنجاح!
Invalid OTP. Please try again,Invalid OTP. Please try again,OTP no válida. Por favor inténtalo de nuevo,كلمة المرور لمرة واحدة غير صالحة. يرجى المحاولة مرة أخرى
Account successfully verified,Account successfully verified,Cuenta verificada exitosamente,تم التحقق من الحساب بنجاح
Your account secure with google 2FA,Your account secure with google 2FA,Su cuenta segura con Google 2FA,حسابك آمن مع جوجل 2FA
To enable two factor authentication (powered by google) please visit your web dashboard Click here:,To enable two factor authentication (powered by google) please visit your web dashboard Click here:,"Para habilitar la autenticación de dos factores (con tecnología de Google), visite su panel web. Haga clic aquí:",لتمكين المصادقة الثنائية (المدعومة من Google)، يرجى زيارة لوحة تحكم الويب الخاصة بك انقر هنا:
This payment gateway is under constructions. Please try with another payment gateway,This payment gateway is under constructions. Please try with another payment gateway,Esta pasarela de pago está en construcción. Por favor intenta con otra pasarela de pago,بوابة الدفع هذه قيد الإنشاء. يرجى المحاولة باستخدام بوابة دفع أخرى
Basic settings fetch successfully!,Basic settings fetch successfully!,¡La configuración básica se obtuvo correctamente!,تم جلب الإعدادات الأساسية بنجاح!
Language data fetch successfully!,Language data fetch successfully!,¡Los datos de idioma se obtuvieron correctamente!,تم جلب بيانات اللغة بنجاح!
Announcement Category,Announcement Category,Categoría de anuncio,فئة الإعلان
Announcements,Announcements,Anuncios,إعلانات
Create New Announcement,Create New Announcement,Crear nuevo anuncio,إنشاء إعلان جديد
Announcement Edit,Announcement Edit,Anuncio Editar,تحرير الإعلان
Add Money,Add Money,Agregar dinero,أضف المال
Payment Instructions,Payment Instructions,Instrucciones de pago,تعليمات الدفع
Authorize Google Two Factor,Authorize Google Two Factor,Autorizar Google Two Factor,تفويض جوجل اثنين عامل
Transactions,Transactions,Actas,المعاملات
Profit Log,Profit Log,Registro de ganancias,سجل الربح
Gold Store,Gold Store,Tienda de oro,متجر الذهب
Checkout,Checkout,Verificar,الدفع
Buy Plan,Buy Plan,Comprar plan,شراء الخطة
Gold Invest,Gold Invest,Invertir en oro,استثمار الذهب
My Invest,My Invest,Mi inversión,استثماري
Investment,Investment,Inversión,استثمار
User Profile,User Profile,Perfil de usuario,ملف تعريف المستخدم
Profile,Profile,Perfil,حساب تعريفي
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,عامل المصادقة الثنائية
Refer Level,Refer Level,Nivel de referencia,الرجوع إلى المستوى
My Status,My Status,Mi estado,حالتي
Support Tickets,Support Tickets,Boletos de soporte,تذاكر الدعم
Add New Ticket,Add New Ticket,Agregar nuevo boleto,إضافة تذكرة جديدة
Send Money,Send Money,enviar dinero,إرسال الأموال
Installation,Installation,Instalación,تثبيت
Project Installation Process is,Project Installation Process is,El proceso de instalación del proyecto es,عملية تثبيت المشروع هي
Failed!,Failed!,¡Fallido!,فشل!
Project Installation Server,Project Installation Server,Servidor de instalación de proyectos,خادم تثبيت المشروع
Requirements,Requirements,Requisitos,متطلبات
Back,Back,Atrás,خلف
Next,Next,Próximo,التالي
Welcome,Welcome,Bienvenido,مرحباً
To Project Installation Process,To Project Installation Process,Al proceso de instalación del proyecto,لمشروع عملية التثبيت
"To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","To continue with the installation process click on the start button. if you choose not to install this application, click on the cancel button. Thanks","Para continuar con el proceso de instalación haga clic en el botón de inicio. Si elige no instalar esta aplicación, haga clic en el botón cancelar. Gracias",لمتابعة عملية التثبيت انقر على زر البداية. إذا اخترت عدم تثبيت هذا التطبيق، فانقر على زر الإلغاء. شكرًا
Cancel,Cancel,Cancelar,يلغي
Start,Start,Comenzar,يبدأ
Enter your account email address or username,Enter your account email address or username,Ingrese la dirección de correo electrónico o el nombre de usuario de su cuenta,أدخل عنوان البريد الإلكتروني الخاص بحسابك أو اسم المستخدم
Username OR Email Address,Username OR Email Address,Nombre de usuario O dirección de correo electrónico,اسم المستخدم أو عنوان البريد الإلكتروني
Reset,Reset,Reiniciar,إعادة ضبط
Reset Password,Reset Password,Restablecer contraseña,إعادة تعيين كلمة المرور
Welcome To,Welcome To,Bienvenido a,مرحبا بكم في
Admin Panel,Admin Panel,Panel de administración,لوحة الإدارة
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني
TRX ID,TRX ID,Identificación TRX,معرف تي آر إكس
Role,Role,Role,دور
Default,Default,Por defecto,تقصير
Investment Plan,Investment Plan,Plan de Inversión,خطة الاستثمار
Invest Amount,Invest Amount,Monto de inversión,مبلغ الاستثمار
Profit Amount,Profit Amount,Monto de ganancia,مبلغ الربح
Created At,Created At,Creado en,تم الإنشاء في
Mail,Mail,Correo,بريد
Add Language,Add Language,Agregar idioma,إضافة لغة
Edit Language,Edit Language,Editar idioma,تحرير اللغة
Update,Update,Actualizar,تحديث
Select Language,Select Language,Seleccionar idioma,اختر اللغة
Label,Label,Etiqueta,ملصق
Language File ,Language File ,Archivo de idioma ,ملف اللغة 
Add New Item,Add New Item,Agregar nuevo artículo,إضافة عنصر جديد
Add Banner Item,Add Banner Item,Agregar elemento de banner,إضافة عنصر الشعار
Description,Description,Descripción,وصف
Add Brand,Add Brand,Agregar marca,أضف علامة تجارية
Add Feedback,Add Feedback,Agregar comentarios,إضافة تعليقات
Comment,Comment,Comentario,تعليق
Star,Star,Estrella,نجم
Add Why Choose Us Item,Add Why Choose Us Item,Agregar artículo ¿Por qué elegirnos?,أضف لماذا تختارنا العنصر
Item No,Item No,Número de artículo,رقم الصنف
Add Service,Add Service,Agregar servicio,أضف الخدمة
Icon,Icon,Icono,رمز
Add Solution,Add Solution,Agregar solución,أضف الحل
Item Description,Item Description,Descripción del artículo,وصف السلعة
Add Work Item,Add Work Item,Agregar elemento de trabajo,إضافة عنصر العمل
Add Admin,Add Admin,Agregar administrador,إضافة المشرف
Admin Profile Image,Admin Profile Image,Imagen de perfil de administrador,صورة الملف الشخصي للمشرف
Add Currency,Add Currency,Agregar moneda,أضف العملة
Country Flag,Country Flag,Bandera del país,علم الدولة
Add New Screen,Add New Screen,Agregar nueva pantalla,إضافة شاشة جديدة
Sub Title,Sub Title,Subtítulo,العنوان الفرعي
Add New Permission,Add New Permission,Agregar nuevo permiso,إضافة إذن جديد
Permission Name,Permission Name,Nombre del permiso,اسم الإذن
Assign Permission Page/Task,Assign Permission Page/Task,Asignar página/tarea de permiso,تعيين صفحة/مهمة إذن
Edit Permission,Edit Permission,Editar permiso,تحرير إذن
Add New Role,Add New Role,Agregar nuevo rol,إضافة دور جديد
Role Name,Role Name,Nombre del rol,اسم الدور
Edit Role,Edit Role,Editar rol,تحرير الدور
Edit Admin,Edit Admin,Editar administrador,تحرير المشرف
Edit Currency,Edit Currency,Editar moneda,تحرير العملة
Edit Screen,Edit Screen,Editar pantalla,تحرير الشاشة
Update Extension,Update Extension,Actualizar extensión,تحديث التمديد
Reject KYC,Reject KYC,Rechazar KYC,"رفض ""اعرف عميلك""."
Submit,Submit,Entregar,يُقدِّم
Rejejct Transaction,Rejejct Transaction,Rechazar transacción,رفض المعاملة
Submit_WEB,Submit_WEB,Enviar_WEB,Submit_WEB
Update Status,Update Status,Estado de actualización,تحديث الحالة
Select Order Status,Select Order Status,Seleccione el estado del pedido,حدد حالة الطلب
Accepted,Accepted,Aceptado,مقبول
Send Email,Send Email,Enviar correo electrónico,إرسال البريد الإلكتروني
Close,Close,Cerca,يغلق
Send Test Mail,Send Test Mail,Enviar correo de prueba,إرسال بريد الاختبار
Send mail to all subscribers,Send mail to all subscribers,Enviar correo a todos los suscriptores,إرسال البريد إلى جميع المشتركين
Subject,Subject,Sujeto,موضوع
Details,Details,Detalles,تفاصيل
Global Setting for,Global Setting for,Configuración global para,الإعداد العالمي ل
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ
Rate,Rate,Tasa,معدل
Total Supported Currency,Total Supported Currency,Moneda total admitida,إجمالي العملة المدعومة
